,0,1,2,3,4,sum,diff
22149081,-56.0,-26.2,-10.94,-2.82,306.0,210.04,0.0
22342914,-56.0,-10.86,-4.7,114.65,166.95,210.04,0.0
22359437,-56.0,-10.86,15.96,23.94,237.0,210.04,0.0
22376908,-56.0,-9.98,-5.58,114.65,166.95,210.04,0.0
22408558,-56.0,-9.21,-6.4,41.65,240.0,210.04,0.0
23107645,-34.0,-28.31,-0.65,68.0,205.0,210.04,0.0
23686945,-34.0,-4.7,-1.22,15.96,234.0,210.04,0.0
24419685,-30.0,-6.9,18.0,23.94,205.0,210.04,0.0
24714523,-30.0,-1.22,-0.81,2.07,240.0,210.04,0.0
24717265,-30.0,-1.22,-0.39,41.65,200.0,210.04,0.0
24875986,-29.84,-28.31,-4.81,68.0,205.0,210.04,0.0
24983174,-29.84,-16.58,-0.54,20.0,237.0,210.04,0.0
25338415,-29.84,-6.4,-0.37,41.65,205.0,210.04,0.0
25557718,-29.84,-1.84,2.07,114.65,125.0,210.04,0.0
25596177,-29.84,-1.08,15.96,20.0,205.0,210.04,0.0
25596223,-29.84,-1.08,15.96,25.0,200.0,210.04,0.0
25614578,-29.84,-0.84,-0.27,3.99,237.0,210.04,0.0
25969294,-28.31,-9.21,-8.4,15.96,240.0,210.04,0.0
25981413,-28.31,-9.21,-5.4,15.96,237.0,210.04,0.0
26062445,-28.31,-8.0,-0.65,10.0,237.0,210.04,0.0
26261437,-28.31,-4.81,-1.84,40.0,205.0,210.04,0.0
26265560,-28.31,-4.81,-0.84,10.0,234.0,210.04,0.0
26266275,-28.31,-4.81,-0.83,3.99,240.0,210.04,0.0
26425458,-28.31,-0.84,-0.81,3.0,237.0,210.04,0.0
26425700,-28.31,-0.84,-0.81,40.0,200.0,210.04,0.0
26426694,-28.31,-0.84,-0.54,-0.27,240.0,210.04,0.0
26445233,-28.31,-0.81,-0.49,114.65,125.0,210.04,0.0
26455402,-28.31,-0.65,3.0,31.0,205.0,210.04,0.0
26640231,-26.2,-10.94,-2.82,10.0,240.0,210.04,0.0
26665377,-26.2,-10.86,-6.9,20.0,234.0,210.04,0.0
26856864,-26.2,-6.9,-0.85,3.99,240.0,210.04,0.0
27116044,-26.2,-2.0,-1.22,-0.54,240.0,210.04,0.0
27119410,-26.2,-2.0,-0.83,2.07,237.0,210.04,0.0
27130945,-26.2,-1.84,-1.08,-0.84,240.0,210.04,0.0
27205220,-26.2,-0.83,2.07,30.0,205.0,210.04,0.0
27234443,-26.2,-0.49,-0.27,3.0,234.0,210.04,0.0
27239931,-26.2,-0.39,-0.37,3.0,234.0,210.04,0.0
27280444,-26.2,23.94,41.65,56.0,114.65,210.04,0.0
27363834,-16.58,-10.94,-1.51,2.07,237.0,210.04,0.0
27420662,-16.58,-9.98,-8.4,40.0,205.0,210.04,0.0
27426920,-16.58,-9.98,-6.4,3.0,240.0,210.04,0.0
27507523,-16.58,-8.4,-4.05,2.07,237.0,210.04,0.0
27538550,-16.58,-8.0,-4.53,-0.85,240.0,210.04,0.0
27542973,-16.58,-8.0,-1.84,-0.54,237.0,210.04,0.0
27558954,-16.58,-6.9,-6.48,3.0,237.0,210.04,0.0
27559196,-16.58,-6.9,-6.48,40.0,200.0,210.04,0.0
27565689,-16.58,-6.9,-5.4,-1.08,240.0,210.04,0.0
27600833,-16.58,-6.48,-2.82,-1.08,237.0,210.04,0.0
27677808,-16.58,-5.85,-4.53,3.0,234.0,210.04,0.0
27701174,-16.58,-5.58,-4.53,-0.27,237.0,210.04,0.0
27724432,-16.58,-5.4,-4.05,2.07,234.0,210.04,0.0
27767648,-16.58,-4.7,-1.84,-0.84,234.0,210.04,0.0
27785042,-16.58,-4.53,-2.0,-0.85,234.0,210.04,0.0
27868454,-16.58,-1.51,-0.81,23.94,205.0,210.04,0.0
27968018,-16.58,-0.37,3.99,18.0,205.0,210.04,0.0
28027914,-15.7,-10.94,-6.32,3.0,240.0,210.04,0.0
28059882,-15.7,-10.86,-8.4,40.0,205.0,210.04,0.0
28066140,-15.7,-10.86,-6.4,3.0,240.0,210.04,0.0
28148378,-15.7,-9.21,-4.7,114.65,125.0,210.04,0.0
28154230,-15.7,-9.21,-1.51,-0.54,237.0,210.04,0.0
28155022,-15.7,-9.21,-1.22,-0.83,237.0,210.04,0.0
28193748,-15.7,-8.4,-0.81,68.0,166.95,210.04,0.0
28239940,-15.7,-6.9,-5.85,-1.51,240.0,210.04,0.0
28281208,-15.7,-6.48,-1.51,-0.27,234.0,210.04,0.0
28297458,-15.7,-6.4,-5.85,3.99,234.0,210.04,0.0
28304670,-15.7,-6.4,-4.05,-0.81,237.0,210.04,0.0
28382163,-15.7,-5.58,-1.84,-0.84,234.0,210.04,0.0
28397282,-15.7,-5.4,-4.81,-4.05,240.0,210.04,0.0
28649225,-15.7,-0.27,2.07,23.94,200.0,210.04,0.0
28702446,-10.94,-10.86,-6.32,-1.84,240.0,210.04,0.0
28715759,-10.94,-10.86,-1.51,-0.65,234.0,210.04,0.0
28748120,-10.94,-9.98,-4.53,-1.51,237.0,210.04,0.0
28763861,-10.94,-9.98,10.0,15.96,205.0,210.04,0.0
28776650,-10.94,-9.21,-6.32,-0.49,237.0,210.04,0.0
28781620,-10.94,-9.21,-4.81,-2.0,237.0,210.04,0.0
28782422,-10.94,-9.21,-4.81,30.0,205.0,210.04,0.0
28794831,-10.94,-9.21,-0.81,31.0,200.0,210.04,0.0
28809077,-10.94,-8.4,-6.4,-1.22,237.0,210.04,0.0
28842750,-10.94,-8.0,-6.32,-4.7,240.0,210.04,0.0
28851189,-10.94,-8.0,-4.53,-0.49,234.0,210.04,0.0
28875764,-10.94,-6.9,-5.85,-0.27,234.0,210.04,0.0
28877008,-10.94,-6.9,-5.58,-0.54,234.0,210.04,0.0
28909734,-10.94,-6.48,-4.7,-1.84,234.0,210.04,0.0
28935041,-10.94,-6.4,-5.4,-1.22,234.0,210.04,0.0
28958655,-10.94,-6.32,-5.85,-0.85,234.0,210.04,0.0
28963644,-10.94,-6.32,-4.7,-2.0,234.0,210.04,0.0
29337855,-10.86,-9.98,-5.85,-0.27,237.0,210.04,0.0
29339099,-10.86,-9.98,-5.58,-0.54,237.0,210.04,0.0
29370830,-10.86,-9.21,-6.4,-0.49,237.0,210.04,0.0
29403202,-10.86,-8.4,-6.48,-1.22,237.0,210.04,0.0
29415402,-10.86,-8.4,-4.05,-0.65,234.0,210.04,0.0
29436930,-10.86,-8.0,-6.4,-4.7,240.0,210.04,0.0
29502986,-10.86,-6.48,-5.4,-1.22,234.0,210.04,0.0
29528085,-10.86,-6.4,-5.85,-0.85,234.0,210.04,0.0
29533074,-10.86,-6.4,-4.7,-2.0,234.0,210.04,0.0
29607493,-10.86,-5.58,-4.7,-2.82,234.0,210.04,0.0
29630462,-10.86,-5.4,-4.7,31.0,200.0,210.04,0.0
29722413,-10.86,-4.05,3.99,15.96,205.0,210.04,0.0
29723626,-10.86,-4.05,18.0,40.0,166.95,210.04,0.0
29777952,-10.86,-1.51,-0.54,56.0,166.95,210.04,0.0
29788294,-10.86,-1.22,-0.83,56.0,166.95,210.04,0.0
29901211,-10.86,15.96,23.94,31.0,150.0,210.04,0.0
29901267,-10.86,15.96,23.94,56.0,125.0,210.04,0.0
29971658,-9.98,-8.4,-4.53,-4.05,237.0,210.04,0.0
29994622,-9.98,-8.0,-6.4,-5.58,240.0,210.04,0.0
30087093,-9.98,-6.4,-5.58,-2.0,234.0,210.04,0.0
