"","V1","V2","V3","V4","V5"
"27701175",-16.58,-5.58,-4.53,-0.27,237
"27724433",-16.58,-5.4,-4.05,2.07,234
"27767649",-16.58,-4.7,-1.84,-0.84,234
"27785043",-16.58,-4.53,-2,-0.85,234
"27868455",-16.58,-1.51,-0.81,23.94,205
"27968019",-16.58,-0.37,3.99,18,205
"28027915",-15.7,-10.94,-6.32,3,240
"28059883",-15.7,-10.86,-8.4,40,205
"28066141",-15.7,-10.86,-6.4,3,240
"28148379",-15.7,-9.21,-4.7,114.65,125
"28154231",-15.7,-9.21,-1.51,-0.54,237
"28155023",-15.7,-9.21,-1.22,-0.83,237
"28193749",-15.7,-8.4,-0.81,68,166.95
"28239941",-15.7,-6.9,-5.85,-1.51,240
"28281209",-15.7,-6.48,-1.51,-0.27,234
"28297459",-15.7,-6.4,-5.85,3.99,234
"28304671",-15.7,-6.4,-4.05,-0.81,237
"28382164",-15.7,-5.58,-1.84,-0.84,234
"28397283",-15.7,-5.4,-4.81,-4.05,240
"28649226",-15.7,-0.27,2.07,23.94,200
"28702447",-10.94,-10.86,-6.32,-1.84,240
"28715760",-10.94,-10.86,-1.51,-0.65,234
"28748121",-10.94,-9.98,-4.53,-1.51,237
"28763862",-10.94,-9.98,10,15.96,205
"28776651",-10.94,-9.21,-6.32,-0.49,237
"28781621",-10.94,-9.21,-4.81,-2,237
"28782423",-10.94,-9.21,-4.81,30,205
"28794832",-10.94,-9.21,-0.81,31,200
"28809078",-10.94,-8.4,-6.4,-1.22,237
"28842751",-10.94,-8,-6.32,-4.7,240
"28851190",-10.94,-8,-4.53,-0.49,234
"28875765",-10.94,-6.9,-5.85,-0.27,234
"28877009",-10.94,-6.9,-5.58,-0.54,234
"28909735",-10.94,-6.48,-4.7,-1.84,234
"28935042",-10.94,-6.4,-5.4,-1.22,234
"28958656",-10.94,-6.32,-5.85,-0.85,234
"28963645",-10.94,-6.32,-4.7,-2,234
"29337856",-10.86,-9.98,-5.85,-0.27,237
"29339100",-10.86,-9.98,-5.58,-0.54,237
"29370831",-10.86,-9.21,-6.4,-0.49,237
"29403203",-10.86,-8.4,-6.48,-1.22,237
"29415403",-10.86,-8.4,-4.05,-0.65,234
"29436931",-10.86,-8,-6.4,-4.7,240
"29502987",-10.86,-6.48,-5.4,-1.22,234
"29528086",-10.86,-6.4,-5.85,-0.85,234
"29533075",-10.86,-6.4,-4.7,-2,234
"29607494",-10.86,-5.58,-4.7,-2.82,234
"29630463",-10.86,-5.4,-4.7,31,200
"29722414",-10.86,-4.05,3.99,15.96,205
"29723627",-10.86,-4.05,18,40,166.95
"29777953",-10.86,-1.51,-0.54,56,166.95
"29788295",-10.86,-1.22,-0.83,56,166.95
"29901212",-10.86,15.96,23.94,31,150
"29901268",-10.86,15.96,23.94,56,125
"29971659",-9.98,-8.4,-4.53,-4.05,237
"29994623",-9.98,-8,-6.4,-5.58,240
"30087094",-9.98,-6.4,-5.58,-2,234
"30111712",-9.98,-6.32,-5.85,-4.81,237
"30163708",-9.98,-5.58,-5.4,31,200
"30188568",-9.98,-5.4,-4.53,-4.05,234
"30444867",-9.98,2.07,20,31,166.95
"30513289",-9.21,-8,-6.9,-5.85,240
"30515818",-9.21,-8,-6.48,-0.27,234
"30549020",-9.21,-6.9,-6.32,-4.53,237
"30550591",-9.21,-6.9,-5.85,-2,234
"30633464",-9.21,-6.32,-5.85,-5.58,237
"30776182",-9.21,-4.53,-1.22,20,205
"30776228",-9.21,-4.53,-1.22,25,200
"30817538",-9.21,-2.82,2.07,20,200
"30870393",-9.21,-1.22,-0.49,15.96,205
"31003088",-8.4,-8,-6.48,-1.08,234
"31348577",-8.4,-1.51,3.99,15.96,200
"31488554",-8,-6.9,-6.48,-5.58,237
"31602608",-8,-5.85,-5.58,-4.53,234
"31782634",-8,-1.84,-1.08,15.96,205
"31974362",-6.9,-6.4,-5.85,-4.81,234
"32206093",-6.9,-1.84,-1.22,20,200
"32338108",-6.9,3,23.94,40,150
"32350500",-6.9,18,23.94,25,150
"32455448",-6.48,-5.58,-1.84,23.94,200
"32459100",-6.48,-5.58,-0.85,56,166.95
"32480210",-6.48,-5.4,-1.08,18,205
"32561825",-6.48,-4.05,-0.39,15.96,205
"32622142",-6.48,-1.51,2.07,15.96,200
"32672393",-6.48,-0.83,-0.65,18,200
"32672580",-6.48,-0.83,-0.65,68,150
"32991767",-6.4,-1.51,20,31,166.95
"33162803",-6.32,-5.58,-2,23.94,200
"33256952",-6.32,-4.53,23.94,30,166.95
"33380072",-6.32,-0.83,-0.81,18,200
"33380259",-6.32,-0.83,-0.81,68,150
"33551229",-5.85,-4.7,-0.37,15.96,205
"33567969",-5.85,-4.53,-0.54,15.96,205
"33633055",-5.85,-1.84,-0.27,18,200
"33633242",-5.85,-1.84,-0.27,68,150
"33859498",-5.58,-4.53,-0.81,15.96,205
"33923700",-5.58,-1.84,-0.54,18,200
"33923887",-5.58,-1.84,-0.54,68,150
"34041922",-5.58,-0.27,23.94,25,166.95
"34211667",-5.4,-1.51,10,40,166.95
"34212602",-5.4,-1.51,20,30,166.95
"34504084",-4.81,-0.84,-0.27,15.96,200
"34724008",-4.7,-0.85,-0.37,15.96,200
"34727618",-4.7,-0.85,23.94,41.65,150
"34742499",-4.7,-0.83,-0.39,15.96,200
"34934200",-4.53,-0.85,-0.54,15.96,200
"35106010",-4.05,-1.22,-0.65,15.96,200
"35172803",-4.05,-0.54,-0.37,10,205
"35301760",-2.82,-1.08,23.94,40,150
"35908559",-1.22,-0.81,2.07,10,200
"35938398",-1.22,-0.39,20,41.65,150
"36014372",-1.08,-0.83,20,25,166.95
"36468128",-0.65,-0.37,2.07,3.99,205
"36546938",-0.54,3.99,23.94,68,114.65
